id,city,issued_date,address_line_1,address_line_2,state,address_type,zipcode
70001,Griffinhaven,10/06/2007,046 Cox Lights,Suite 600,South Carolina,Residental,71709
70001,New Kyle,26/05/2016,4307 Ashley Village Suite 758,,North Dakota,Mail,87337
70002,South Natalie,15/09/2019,183 Dalton Viaduct,Suite 844,Oregon,Mail,77714
70002,North Heather,01/12/2022,737 Banks Row,Apt. 505,Arkansas,Residental,2341
70003,West Ruth,25/11/2003,27634 Miller Prairie,,North Dakota,Residental,73151
70003,Churchbury,09/03/2007,807 Jesus Mills Suite 598,Suite 735,Texas,Mail,97223
70004,Thomasborough,05/07/2010,36717 Philip Common,Suite 278,Idaho,Mail,91582-4725
70004,Michelleland,06/11/2011,9831 Robert Falls,Apt. 086,Oregon,Residental,05921-5281
70005,North Robertborough,11/08/2005,0861 Caldwell Dam,Suite 783,New Mexico,Residental,31718
70005,Kimberlymouth,29/12/2019,95855 Davis Lodge,Suite 059,Louisiana,Mail,33733
70006,New Christopher,29/10/2009,1049 Riggs Stream Suite 632,Suite 465,Maine,Mail,43342
70006,Jasonbury,27/06/2014,8737 Flores Extension Suite 549,,Idaho,Residental,20277
70007,South Pamela,22/07/2004,16915 Michelle Fields Apt. 930,Suite 488,New Mexico,Mail,44394
70007,New Latoyamouth,06/10/2020,7475 Michael Land,Suite 392,Hawaii,Residental,89157
70008,Lake Lindaside,25/03/2008,64558 Alexis Club,Apt. 683,New Hampshire,Mail,7936
70008,Whitefort,18/12/2008,891 Frank Squares Suite 096,Apt. 809,Virginia,Residental,17694
70009,Kevinside,23/04/2017,7163 Thompson Park Suite 842,,Nebraska,Residental,74553
70009,Jermaineborough,06/03/2004,839 Garcia Highway,Apt. 915,North Dakota,Mail,25837
70010,Monroechester,12/06/2014,388 Perry Mills,Suite 521,Minnesota,Mail,13191
70010,Hunterfort,26/09/2013,7357 Beck Garden Apt. 240,,Wyoming,Residental,69080
70011,North Andreside,31/01/2005,52136 Ramirez Fall,,Florida,Residental,61063
70011,West Williamfort,14/04/2000,973 Bowman Locks,Suite 383,Idaho,Mail,33792
70012,Port Benjamin,20/05/2008,00040 Kathleen Forge,,California,Residental,32137
70012,Torresshire,02/12/2021,64628 Lauren Shores,Suite 184,Louisiana,Mail,79151
70013,Abigailchester,17/12/2018,31693 Wilson Mall,,Georgia,Residental,8817
70013,North Kevinton,07/08/2010,972 Rodriguez Stravenue Apt. 903,Suite 257,Washington,Mail,20634
70014,Juliestad,28/06/2005,7012 Natalie Brooks Suite 964,Suite 115,Hawaii,Mail,42456
70014,Emilybury,18/01/2012,955 Richard Alley,,Maine,Residental,90348
70015,Nelsonland,04/07/2009,20917 Angela Locks Suite 809,Suite 063,South Carolina,Mail,90690
70015,East Cynthiashire,16/04/2000,8355 Davis Terrace,,Kentucky,Residental,75548
70016,Lake Michelle,20/09/2009,12817 Andrew Mall,,Wyoming,Residental,3689
70016,Clarkmouth,19/10/2014,438 Fisher Mill,Apt. 197,Massachusetts,Mail,1145
